a: 2.3701068,
abajo: 0.0130086,
abrir: 0.0260172,
acá: 0.0290314,
acabar: 0.0316226,
acción: 0.0218397,
aceite: 0.0136961,
aceptar: 0.0207292,
acercar: 0.0149123,
acompañar: 0.0159171,
actitud: 0.0136961,
actividad: 0.027022,
acto: 0.0162872,
actual: 0.0197245,
actualmente: 0.0114222,
actuar: 0.0124798,
acuerdo: 0.0292958,
adelante: 0.0151238,
además: 0.0431505,
adquirir: 0.014595,
afectar: 0.011052,
afirmar: 0.014172,
agarrar: 0.0270749,
agregar: 0.0202004,
agua: 0.0831811,
ah: 0.0428861,
ahí: 0.1485415,
ahora: 0.1135346,
aire: 0.0176092,
al: 0.5930026,
alcanzar: 0.0283969,
algo: 0.0585917,
alguien: 0.0115808,
algún: 0.023902,
alguno: 0.1103617,
alma: 0.0142778,
alto: 0.0399248,
altura: 0.0105761,
allá: 0.0658363,
allí: 0.0513999,
amar: 0.0129557,
ambiente: 0.0118981,
amigo: 0.0372808,
amor: 0.0424102,
análisis: 0.0116337,
andar: 0.0618703,
animal: 0.0260701,
ante: 0.0332619,
anterior: 0.037651,
antes: 0.0684803,
añadir: 0.0113164,
año: 0.1758808,
aparecer: 0.0233732,
aparte: 0.0109463,
apenas: 0.0151767,
aplicación: 0.0135903,
aplicar: 0.0226329,
apoyo: 0.0093599,
aprender: 0.0141191,
aprovechar: 0.0120039,
aproximadamente: 0.0105761,
aquel: 0.0793208,
aquí: 0.2134788,
árbol: 0.0173977,
arte: 0.0223685,
artículo: 0.0198302,
arreglar: 0.010629,
arriba: 0.0219983,
asegurar: 0.0158113,
así: 0.2199303,
asistir: 0.0096243,
aspecto: 0.023479,
atención: 0.0174506,
atender: 0.0108934,
atrás: 0.0124798,
aumentar: 0.0210465,
aumento: 0.0131144,
aun: 0.0160757,
aún: 0.0259644,
aunque: 0.0501837,
autor: 0.0161286,
autoridad: 0.017715,
ay: 0.0562649,
ayer: 0.023479,
ayuda: 0.0096243,
ayudar: 0.0278152,
azúcar: 0.0092541,
bailar: 0.0138547,
baile: 0.0165516,
bajar: 0.0186668,
bajo: 0.0369635,
base: 0.033209,
bastante: 0.0308294,
bien: 0.1380183,
blanco: 0.028344,
boca: 0.01285,
bonito: 0.0328388,
brazo: 0.0167103,
buen: 0.0229502,
bueno: 0.1763567,
buscar: 0.0461647,
caballo: 0.016816,
cabeza: 0.0234261,
cabo: 0.0171333,
cada: 0.0998385,
caer: 0.0399248,
café: 0.0153882,
calidad: 0.0144364,
caliente: 0.0105232,
calor: 0.0116337,
calle: 0.0198831,
cama: 0.0101002,
cambiar: 0.0276565,
cambio: 0.0378625,
caminar: 0.0164987,
camino: 0.0249068,
campesino: 0.0164459,
campo: 0.0343195,
cantar: 0.0199889,
cantidad: 0.0262288,
capacidad: 0.0161286,
capital: 0.0189841,
cara: 0.0168689,
carácter: 0.0193543,
característica: 0.0145422,
carga: 0.0109992,
cargo: 0.0114222,
carne: 0.02258,
carrera: 0.0164459,
casa: 0.096507,
casar: 0.0273393,
casi: 0.0602838,
caso: 0.079268,
causa: 0.0189841,
causar: 0.0099416,
celebrar: 0.0116337,
centímetro: 0.0154411,
centro: 0.034108,
cerca: 0.0225271,
cerrar: 0.0181909,
ciento: 0.0204119,
cierto: 0.0564236,
cinco: 0.0405065,
cine: 0.0187726,
ciudad: 0.0419872,
claro: 0.0456888,
clase: 0.0353771,
cobrar: 0.0124798,
cocer: 0.014172,
colegio: 0.0102588,
colocar: 0.0215753,
colonia: 0.0127971,
color: 0.0235319,
comenzar: 0.0227386,
comer: 0.0431505,
comercio: 0.0130615,
comida: 0.0158113,
como: 0.5838014,
cómo: 0.0883634,
completamente: 0.027022,
comprar: 0.0311467,
comprender: 0.0236905,
común: 0.0204119,
con: 0.9931499,
conciencia: 0.010206,
condición: 0.0328917,
conducir: 0.0106819,
conjunto: 0.0216282,
conmigo: 0.0133259,
conocer: 0.0825994,
conocimiento: 0.0178208,
consecuencia: 0.0149123,
conseguir: 0.0144893,
conservar: 0.011052,
considerar: 0.0469579,
consistir: 0.0143835,
constituir: 0.0222627,
construcción: 0.0154411,
construir: 0.0126913,
contar: 0.0375981,
contener: 0.0171333,
contenido: 0.0100473,
contestar: 0.0148594,
continuar: 0.0164459,
contra: 0.0365934,
contrario: 0.014595,
control: 0.0167631,
convertir: 0.0236376,
corazón: 0.0191956,
cortar: 0.0249596,
corte: 0.0118981,
correr: 0.0233203,
corresponder: 0.0201475,
corriente: 0.0231617,
cosa: 0.1224714,
costo: 0.0202533,
crear: 0.0538853,
crecer: 0.0108405,
crecimiento: 0.0105761,
creer: 0.0570581,
cuadro: 0.0190899,
cual: 0.0814361,
cualquier: 0.0463234,
cuando: 0.259908,
cuanto: 0.0322043,
cuarto: 0.0206234,
cuatro: 0.0447898,
cubrir: 0.015071,
cuenta: 0.0401892,
cuerpo: 0.0290843,
cuestión: 0.0138547,
cuidado: 0.0114751,
cuidar: 0.0117395,
cultura: 0.0177679,
cumplir: 0.0211522,
curso: 0.0113164,
cuyo: 0.0348483,
dar: 0.2975061,
dato: 0.0170804,
de: 3.3577571,
deber: 0.1758279,
decidir: 0.0151767,
decir: 0.5575198,
dedicar: 0.0214695,
dejar: 0.1121068,
del: 0.9883377,
demanda: 0.0127442,
demás: 0.0256471,
demostrar: 0.0169747,
dentro: 0.0468522,
departamento: 0.0113164,
depender: 0.0166045,
derecho: 0.0356944,
desaparecer: 0.0115808,
desarrollar: 0.0213109,
desarrollo: 0.040295,
describir: 0.0130086,
descubrir: 0.0146479,
desde: 0.1012663,
